2024-03-12 02:57:21 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:21 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:21 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:21 install libssh2-1:amd64 <none> 1.10.0-3+b1
2024-03-12 02:57:21 status half-installed libssh2-1:amd64 1.10.0-3+b1
2024-03-12 02:57:21 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-03-12 02:57:21 install libcurl4:amd64 <none> 7.88.1-10+deb12u5
2024-03-12 02:57:21 status half-installed libcurl4:amd64 7.88.1-10+deb12u5
2024-03-12 02:57:21 status unpacked libcurl4:amd64 7.88.1-10+deb12u5
2024-03-12 02:57:21 install curl:amd64 <none> 7.88.1-10+deb12u5
2024-03-12 02:57:21 status half-installed curl:amd64 7.88.1-10+deb12u5
2024-03-12 02:57:22 status unpacked curl:amd64 7.88.1-10+deb12u5
2024-03-12 02:57:22 install libdpkg-perl:all <none> 1.21.22
2024-03-12 02:57:22 status half-installed libdpkg-perl:all 1.21.22
2024-03-12 02:57:22 status unpacked libdpkg-perl:all 1.21.22
2024-03-12 02:57:22 install patch:amd64 <none> 2.7.6-7
2024-03-12 02:57:22 status half-installed patch:amd64 2.7.6-7
2024-03-12 02:57:22 status unpacked patch:amd64 2.7.6-7
2024-03-12 02:57:22 install make:amd64 <none> 4.3-4.1
2024-03-12 02:57:22 status half-installed make:amd64 4.3-4.1
2024-03-12 02:57:22 status unpacked make:amd64 4.3-4.1
2024-03-12 02:57:22 install dpkg-dev:all <none> 1.21.22
2024-03-12 02:57:22 status half-installed dpkg-dev:all 1.21.22
2024-03-12 02:57:22 status unpacked dpkg-dev:all 1.21.22
2024-03-12 02:57:22 install libcc1-0:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libcc1-0:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked libcc1-0:amd64 12.2.0-14
2024-03-12 02:57:22 install libgomp1:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libgomp1:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked libgomp1:amd64 12.2.0-14
2024-03-12 02:57:22 install libitm1:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libitm1:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked libitm1:amd64 12.2.0-14
2024-03-12 02:57:22 install libatomic1:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libatomic1:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked libatomic1:amd64 12.2.0-14
2024-03-12 02:57:22 install libasan8:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libasan8:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked libasan8:amd64 12.2.0-14
2024-03-12 02:57:22 install liblsan0:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed liblsan0:amd64 12.2.0-14
2024-03-12 02:57:22 status unpacked liblsan0:amd64 12.2.0-14
2024-03-12 02:57:22 install libtsan2:amd64 <none> 12.2.0-14
2024-03-12 02:57:22 status half-installed libtsan2:amd64 12.2.0-14
2024-03-12 02:57:23 status unpacked libtsan2:amd64 12.2.0-14
2024-03-12 02:57:23 install libubsan1:amd64 <none> 12.2.0-14
2024-03-12 02:57:23 status half-installed libubsan1:amd64 12.2.0-14
2024-03-12 02:57:23 status unpacked libubsan1:amd64 12.2.0-14
2024-03-12 02:57:23 install libquadmath0:amd64 <none> 12.2.0-14
2024-03-12 02:57:23 status half-installed libquadmath0:amd64 12.2.0-14
2024-03-12 02:57:23 status unpacked libquadmath0:amd64 12.2.0-14
2024-03-12 02:57:23 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-03-12 02:57:23 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-03-12 02:57:23 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-03-12 02:57:23 install gcc-12:amd64 <none> 12.2.0-14
2024-03-12 02:57:23 status half-installed gcc-12:amd64 12.2.0-14
2024-03-12 02:57:24 status unpacked gcc-12:amd64 12.2.0-14
2024-03-12 02:57:24 install gcc:amd64 <none> 4:12.2.0-3
2024-03-12 02:57:24 status half-installed gcc:amd64 4:12.2.0-3
2024-03-12 02:57:24 status unpacked gcc:amd64 4:12.2.0-3
2024-03-12 02:57:24 install libc-dev-bin:amd64 <none> 2.36-9+deb12u4
2024-03-12 02:57:24 status half-installed libc-dev-bin:amd64 2.36-9+deb12u4
2024-03-12 02:57:24 status unpacked libc-dev-bin:amd64 2.36-9+deb12u4
2024-03-12 02:57:24 install linux-libc-dev:amd64 <none> 6.1.76-1
2024-03-12 02:57:24 status half-installed linux-libc-dev:amd64 6.1.76-1
2024-03-12 02:57:24 status unpacked linux-libc-dev:amd64 6.1.76-1
2024-03-12 02:57:24 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-03-12 02:57:24 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-03-12 02:57:24 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-03-12 02:57:24 install libtirpc-common:all <none> 1.3.3+ds-1
2024-03-12 02:57:24 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-03-12 02:57:24 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-03-12 02:57:24 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-03-12 02:57:24 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-03-12 02:57:24 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-03-12 02:57:24 install libnsl2:amd64 <none> 1.3.0-2
2024-03-12 02:57:24 status half-installed libnsl2:amd64 1.3.0-2
2024-03-12 02:57:24 status unpacked libnsl2:amd64 1.3.0-2
2024-03-12 02:57:24 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-03-12 02:57:24 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-03-12 02:57:24 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-03-12 02:57:24 install libnsl-dev:amd64 <none> 1.3.0-2
2024-03-12 02:57:24 status half-installed libnsl-dev:amd64 1.3.0-2
2024-03-12 02:57:24 status unpacked libnsl-dev:amd64 1.3.0-2
2024-03-12 02:57:24 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-03-12 02:57:24 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-03-12 02:57:24 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-03-12 02:57:24 install libc6-dev:amd64 <none> 2.36-9+deb12u4
2024-03-12 02:57:24 status half-installed libc6-dev:amd64 2.36-9+deb12u4
2024-03-12 02:57:24 status unpacked libc6-dev:amd64 2.36-9+deb12u4
2024-03-12 02:57:24 install libstdc++-12-dev:amd64 <none> 12.2.0-14
2024-03-12 02:57:24 status half-installed libstdc++-12-dev:amd64 12.2.0-14
2024-03-12 02:57:25 status unpacked libstdc++-12-dev:amd64 12.2.0-14
2024-03-12 02:57:25 install g++-12:amd64 <none> 12.2.0-14
2024-03-12 02:57:25 status half-installed g++-12:amd64 12.2.0-14
2024-03-12 02:57:25 status unpacked g++-12:amd64 12.2.0-14
2024-03-12 02:57:25 install g++:amd64 <none> 4:12.2.0-3
2024-03-12 02:57:25 status half-installed g++:amd64 4:12.2.0-3
2024-03-12 02:57:25 status unpacked g++:amd64 4:12.2.0-3
2024-03-12 02:57:25 install libpkgconf3:amd64 <none> 1.8.1-1
2024-03-12 02:57:25 status half-installed libpkgconf3:amd64 1.8.1-1
2024-03-12 02:57:25 status unpacked libpkgconf3:amd64 1.8.1-1
2024-03-12 02:57:25 install pkgconf-bin:amd64 <none> 1.8.1-1
2024-03-12 02:57:25 status half-installed pkgconf-bin:amd64 1.8.1-1
2024-03-12 02:57:25 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-03-12 02:57:25 install pkgconf:amd64 <none> 1.8.1-1
2024-03-12 02:57:25 status half-installed pkgconf:amd64 1.8.1-1
2024-03-12 02:57:25 status unpacked pkgconf:amd64 1.8.1-1
2024-03-12 02:57:25 install pkg-config:amd64 <none> 1.8.1-1
2024-03-12 02:57:25 status half-installed pkg-config:amd64 1.8.1-1
2024-03-12 02:57:25 status unpacked pkg-config:amd64 1.8.1-1
2024-03-12 02:57:25 install re2c:amd64 <none> 3.0-2
2024-03-12 02:57:25 status half-installed re2c:amd64 3.0-2
2024-03-12 02:57:26 status unpacked re2c:amd64 3.0-2
2024-03-12 02:57:26 startup packages configure
2024-03-12 02:57:26 configure libkeyutils1:amd64 1.6.3-2 <none>
2024-03-12 02:57:26 status unpacked libkeyutils1:amd64 1.6.3-2
